id,date,name,username,text,url,referenced_post_id,referenced_username,referenced_post_type,referenced_post_url,like_count,reply_count,repost_count,links,alt_texts
3le7a5sgssc2t,2024-12-26 10:08:36.019000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3le7a5sgssc2t,,,,,13,1,3,[],['']
3le7a3oreu22t,2024-12-26 10:07:25.044000,Solange,solange1.bsky.social,"Ni la peste, ni le choléra !",https://bsky.app/profile/solange1.bsky.social/post/3le7a3oreu22t,,,,,30,10,4,[],['']
3le76wigybk2a,2024-12-26 09:46:36.917000,Solange,solange1.bsky.social,"À partir de janvier 2025, les entreprises de 11 à 49 salariés seront obligées de proposer un dispositif de partage de la valeur",https://bsky.app/profile/solange1.bsky.social/post/3le76wigybk2a,,,,,5,1,0,[],[]
3le5v4zqwu22a,2024-12-25 21:18:39.222000,Solange,solange1.bsky.social,"Il a dit avoir pris rendez-vous lundi prochain avec Amélie de Montchalin, la nouvelle ministre chargée des comptes publics, pour échanger sur ce « dossier extrêmement important ».",https://bsky.app/profile/solange1.bsky.social/post/3le5v4zqwu22a,3le5v4zquvk2a,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le5v4zquvk2a,3,0,0,[],[]
3le5v4zquvk2a,2024-12-25 21:18:39.221000,Solange,solange1.bsky.social,"Cette rapidité, elle passe par plus d’effectifs, plus de greffiers bien évidemment, et plus de magistrats ». « Nous serons raisonnables » car il faudra tenir compte « bien évidemment » des contraintes budgétaires nationales, « mais nous devons augmenter ce budget du ministère de la justice ».",https://bsky.app/profile/solange1.bsky.social/post/3le5v4zquvk2a,3le5v4zqsx22a,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le5v4zqsx22a,4,1,0,[],[]
3le5v4zqsx22a,2024-12-25 21:18:39.220000,Solange,solange1.bsky.social,"« La justice est malheureusement trop lente, les magistrats sont les premiers à s’en plaindre. Ce que nous voulons, c’est plus de rapidité, plus de fermeté. On ne peut pas le faire avec des moyens constants.",https://bsky.app/profile/solange1.bsky.social/post/3le5v4zqsx22a,3le5v4zqcds2a,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le5v4zqcds2a,3,1,0,[],[]
3le5v4zqcds2a,2024-12-25 21:18:39.219000,Solange,solange1.bsky.social,"Gérald Darmanin, nouveau garde des sceaux, a déclaré qu’il comptait obtenir davantage de moyens pour son ministère, afin de permettre une « justice rapide » grâce à des effectifs renforcés.",https://bsky.app/profile/solange1.bsky.social/post/3le5v4zqcds2a,,,,,15,2,2,[],[]
3le5s3fvqlk2p,2024-12-25 20:24:03.631000,Solange,solange1.bsky.social,"Ce qui lui sera utile, eu égard aux dossiers éminemment brûlants qui l’attendent. Notamment à Mayotte, ravagée par le cyclone Chido, et qui compte encore ses morts.",https://bsky.app/profile/solange1.bsky.social/post/3le5s3fvqlk2p,3le5s3fvaxk2p,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le5s3fvaxk2p,5,0,0,[],[]
3le5s3fvaxk2p,2024-12-25 20:24:03.630000,Solange,solange1.bsky.social,"Manuel Valls est ministre d’État du gouvernement de François Bayrou, où il hérite du très sensible portefeuille des Outre-mer. Un sujet dont il avait presque fait l’un de ses « domaines réservés » lorsqu’il était à Matignon.",https://bsky.app/profile/solange1.bsky.social/post/3le5s3fvaxk2p,,,,,24,2,1,[],[]
3le3jzkvbbc2o,2024-12-24 22:54:32.353000,Solange,solange1.bsky.social,Joyeuses fêtes !,https://bsky.app/profile/solange1.bsky.social/post/3le3jzkvbbc2o,,,,,7,0,1,[],[]
3le3jqrc6rk2o,2024-12-24 22:49:37.066000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3le3jqrc6rk2o,,,,,16,0,6,[],['']
3le3jow7slk2o,2024-12-24 22:48:35.117000,Solange,solange1.bsky.social,"Pour l'ancienne élue de gauche, « réaménager et faciliter l'accès à la santé, aux transports, à l'emploi, à l'éducation » dans les « qualités politiques de la ville » figurent parmi les priorités.",https://bsky.app/profile/solange1.bsky.social/post/3le3jow7slk2o,3le3jow7byc2o,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le3jow7byc2o,6,0,1,[],[]
3le3jow7byc2o,2024-12-24 22:48:35.116000,Solange,solange1.bsky.social,"La sécurité sera « centrale » dans la nouvelle politique de la ville, selon Juliette Méadel
« Je tiens beaucoup à la question de la sécurité qui est centrale dans la rénovation, surtout dans les quartiers difficiles », a affirmé Juliette Méadel, la nouvelle ministre déléguée à la Ville.",https://bsky.app/profile/solange1.bsky.social/post/3le3jow7byc2o,,,,,7,1,2,[],[]
3le3jf3hj4c2o,2024-12-24 22:43:05.085000,Solange,solange1.bsky.social,"Les ménages n’ont «pas perdu de pouvoir d’achat» en 2024, assure le directeur général de l’Insee.

Contrairement aux propos répétés à l'envie par les populistes d'extrême droite et d'extrême gauche....

t.co/to1eDhoXcU",https://bsky.app/profile/solange1.bsky.social/post/3le3jf3hj4c2o,,,,,33,4,17,['https://t.co/to1eDhoXcU'],[]
3le3ivtknrs2o,2024-12-24 22:34:33.484000,Solange,solange1.bsky.social,"Joyeux Noël, bonnes fêtes à tous 🎁🎄🎊",https://bsky.app/profile/solange1.bsky.social/post/3le3ivtknrs2o,,,,,3,1,0,[],[]
3le3irifrls2o,2024-12-24 22:32:07.556000,Solange,solange1.bsky.social,"et spécialiste des questions de santé au travail, conserve le Handicap, enrichi de l'Autonomie.",https://bsky.app/profile/solange1.bsky.social/post/3le3irifrls2o,3le3irifpnc2o,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le3irifpnc2o,2,0,0,[],[]
3le3irifpnc2o,2024-12-24 22:32:07.555000,Solange,solange1.bsky.social,"Celle de Yannick Neuder. Cardiologue de formation, député LR de l'Isère proche de Laurent Wauquiez et rapporteur général du Budget de la Sécurité sociale de 2025, il est chargé de la Santé et de l'Accès aux soins.
Charlotte Parmentier-Lecocq, élue Horizons",https://bsky.app/profile/solange1.bsky.social/post/3le3irifpnc2o,3le3irifnos2o,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le3irifnos2o,3,1,0,[],[]
3le3irifnos2o,2024-12-24 22:32:07.554000,Solange,solange1.bsky.social,"Celle d'Astrid Panosyan-Bouvet, une « marcheuse » de la première heure, qui conserve le Travail et l'Emploi, gagnant ainsi un demi-bâton de maréchal pour avoir accompagné plus que piloté les négociations des partenaires sociaux sur l'assurance-chômage et l'emploi des seniors.",https://bsky.app/profile/solange1.bsky.social/post/3le3irifnos2o,3le3irif7zc2o,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le3irif7zc2o,0,1,0,[],[]
3le3irif7zc2o,2024-12-24 22:32:07.553000,Solange,solange1.bsky.social,"Catherine Vautrin, ex-LR ralliée à la macronie, récupère le ministère du Travail, de la Santé, de la Solidarité et des Familles.
Sa nomination est assortie de celles de deux ministres de plein exercice qu'elle va donc coiffer.",https://bsky.app/profile/solange1.bsky.social/post/3le3irif7zc2o,,,,,5,1,1,[],[]
3le2of6gyzc23,2024-12-24 14:39:57.185000,Solange,solange1.bsky.social,"Le député Stéphane Vojetta offre son livre 

mcusercontent.com/67fffeada444...",https://bsky.app/profile/solange1.bsky.social/post/3le2of6gyzc23,,,,,7,1,0,['https://mcusercontent.com/67fffeada4440996a4ca21c13/files/5b4a829d-94af-921b-081e-df3b3fce3246/Remontada_final.pdf'],[]
3le2iv7zfe22u,2024-12-24 13:01:33.238000,Solange,solange1.bsky.social,"Et son expérience au ministère des finances, où il fut conseiller au cabinet de Michel Sapin de 1992 à 1993 : avec lui, « il a appris comment un ministre devait être le chef de son administration ».",https://bsky.app/profile/solange1.bsky.social/post/3le2iv7zfe22u,3le2iv7zdfk2u,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le2iv7zdfk2u,6,0,0,[],[]
3le2iv7zdfk2u,2024-12-24 13:01:33.237000,Solange,solange1.bsky.social,"Il s’est engagé politiquement auprès de Michel Rocard – « être de gauche a toujours été une évidence » –, son goût pour la concertation – « la recherche de dialogue n’est pas contradictoire avec l’ambition réformatrice, bien au contraire ».",https://bsky.app/profile/solange1.bsky.social/post/3le2iv7zdfk2u,3le2iv7yssc2u,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3le2iv7yssc2u,6,1,0,[],[]
3le2iv7yssc2u,2024-12-24 13:01:33.236000,Solange,solange1.bsky.social,"Eric Lombard, banquier « de gauche » nouveau ministre de l’économie, ancien directeur général de la Caisse des dépôts et consignations, croit dans son profil et sa méthode pour faire adopter un budget 2025 combinant baisse du déficit et soutien à la croissance.",https://bsky.app/profile/solange1.bsky.social/post/3le2iv7yssc2u,,,,,10,1,1,[],[]
3le2hs2lc6k2u,2024-12-24 12:41:53.147000,Solange,solange1.bsky.social,"Eric Lombard, un banquier « de gauche » à l’économie
Nommé à Bercy, l’ancien directeur général de la Caisse des dépôts et consignations croit dans son profil et sa méthode pour faire adopter un budget 2025 combinant baisse du déficit et soutien à la croissance.",https://bsky.app/profile/solange1.bsky.social/post/3le2hs2lc6k2u,,,,,7,0,1,[],[]
3le24ruku222u,2024-12-24 09:24:55.679000,Solange,solange1.bsky.social,"Aurore Bergé 💬""La seule censure possible, c'est l'alliance de tous les contraires. L'alliance de l'extrême droite et de toute la gauche. Ça ne fait pas une alternance, ça ne fait pas un projet pour les Français !

Et je le redis aux socialistes : ils valent mieux que la soumission à Mélenchon.""",https://bsky.app/profile/solange1.bsky.social/post/3le24ruku222u,,,,,21,2,7,[],[]
3ldywzsr3bc2u,2024-12-23 22:09:20.018000,Solange,solange1.bsky.social,"Bruno Retailleau reste à l’Intérieur, après avoir obtenu des assurances pour mener sa politique de fermeté sur la sécurité et l’immigration.",https://bsky.app/profile/solange1.bsky.social/post/3ldywzsr3bc2u,3ldywzsqlnc2u,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3ldywzsqlnc2u,5,1,1,[],[]
3ldywzsqlnc2u,2024-12-23 22:09:20.017000,Solange,solange1.bsky.social,"Outre Manuel Valls, deux anciens ministres de la présidence Hollande voient des ministères leur échoir : François Rebsamen (Décentralisation) et Juliette Méadel (Ville). 

Gérald Darmanin est ministre de la Justice.",https://bsky.app/profile/solange1.bsky.social/post/3ldywzsqlnc2u,,,,,13,3,0,[],[]
3ldyuuhqgvk2z,2024-12-23 21:30:33.206000,Solange,solange1.bsky.social,"Le ministère de la Justice ce n’est pas un ministère de guerre, de fracture, d’agressions entre les uns et les autres», a conclu le premier ministre.  BFMTV",https://bsky.app/profile/solange1.bsky.social/post/3ldyuuhqgvk2z,3ldyuuhqfwc2z,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3ldyuuhqfwc2z,8,1,3,[],[]
3ldyuuhqfwc2z,2024-12-23 21:30:33.205000,Solange,solange1.bsky.social,"Xavier Bertrand proposait une démarche que je trouvais violente, il proposait que les amendes soient directement facturées et payées par une retenue de salaire. Ça n’a rien à voir avec une défiance de Marine Le Pen mais une défiance de moi.",https://bsky.app/profile/solange1.bsky.social/post/3ldyuuhqfwc2z,3ldyuuhpwcc2z,solange1.bsky.social,replied_to,https://bsky.app/profile/solange1.bsky.social/post/3ldyuuhpwcc2z,11,1,5,[],[]
3ldyuuhpwcc2z,2024-12-23 21:30:33.204000,Solange,solange1.bsky.social,"François Bayrou a précisé qu’il avait proposé à Xavier Bertrand d’entrer dans le gouvernement. Il m’a dit qu’il ne voulait que la Justice. Je l’ai reçu, il m’a exposé ses vues et je ne me suis pas reconnu dans ses vues et en réfléchissant, je me suis rendu compte où étaient les points de divergences",https://bsky.app/profile/solange1.bsky.social/post/3ldyuuhpwcc2z,,,,,19,1,5,[],[]
3ldytudtwe22z,2024-12-23 21:12:35.397000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldytudtwe22z,,,,,14,0,2,[],['']
3ldytmvdkys2l,2024-12-23 21:08:25.299000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldytmvdkys2l,,,,,10,0,1,[],['']
3ldytlqba4c2l,2024-12-23 21:07:46.423000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldytlqba4c2l,,,,,10,1,1,[],['']
3ldytkwywus2l,2024-12-23 21:07:19.941000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldytkwywus2l,,,,,15,0,2,[],['']
3ldytkk4dqs2l,2024-12-23 21:07:06.421000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldytkk4dqs2l,,,,,10,0,0,[],['']
3ldytjjbbxk2l,2024-12-23 21:06:31.979000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldytjjbbxk2l,,,,,9,0,1,[],['']
3ldythhaeok2l,2024-12-23 21:05:22.740000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldythhaeok2l,,,,,20,1,8,[],['']
3ldytgrvk3s2l,2024-12-23 21:05:00.367000,Solange,solange1.bsky.social,,https://bsky.app/profile/solange1.bsky.social/post/3ldytgrvk3s2l,,,,,23,1,5,[],['']
